傲慢与偏见,乔·怀特 JoeWright,2005,8.7,797654人,6
玩具总动员3,李·昂克里奇 LeeUnkrich,2010,8.9,513340人,6
新世界,朴勋政 Hoon-jungPark,2013,8.9,432850人,6
釜山行,延尚昊 Sang-hoYeon,2016,8.6,1195417人,6
神偷奶爸,皮艾尔·柯芬 Pierre,2010,8.7,945202人,6
被解救的姜戈,昆汀·塔伦蒂诺 QuentinTarantino,2012,8.8,606848人,6
玛丽和马克思,亚当·艾略特 AdamElliot,2009,9.0,420968人,6
告白,中岛哲也 TetsuyaNakashima,2010,8.8,670015人,6
大鱼,蒂姆·波顿 TimBurton,2003,8.8,567023人,6
哪吒闹海,王树忱 Shuchen,1979,9.2,258735人,6
射雕英雄传之东成西就,刘镇伟 JeffreyLau,1993,8.7,635062人,6
茶馆,谢添 TianXie,1982(中国大陆),9.6,144650人,6
头号玩家,史蒂文·斯皮尔伯格 StevenSpielberg,2018,8.7,1364568人,6
喜宴,李安 AngLee,1993,9.0,360836人,6
模仿游戏,莫滕·泰杜姆 MortenTyldum,2014,8.8,644360人,7
九品芝麻官,王晶 JingWong,1994,8.7,676705人,7
阳光姐妹淘,姜炯哲 Hyeong-CheolKang,2011,8.8,589476人,7
我是山姆,杰茜·尼尔森 JessieNelson,2001,9.0,336926人,7
色，戒,李安 AngLee,2007,8.7,804164人,7
花样年华,王家卫 Kar,2000,8.7,604701人,7
血战钢锯岭,梅尔·吉布森 MelGibson,2016,8.7,780957人,7
恐怖直播,金秉祐 Byeong-wooKim,2013,8.7,649799人,7
七武士,黑泽明 AkiraKurosawa,1954,9.3,197390人,7
头脑特工队,彼特·道格特 Pete,2015,8.8,610048人,7
惊魂记,阿尔弗雷德·希区柯克 AlfredHitchcock,1960,9.0,292703人,7
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana,2003,8.8,445831人,7
你的名字。,新海诚 MakotoShinkai,2016,8.5,1403995人,7
电锯惊魂,詹姆斯·温 JamesWan,2004,8.8,530922人,7
三块广告牌,马丁·麦克唐纳 MartinMcDonagh,2017,8.7,817955人,7
达拉斯买家俱乐部,让-马克·瓦雷 Jean-MarcVallée,2013,8.8,451344人,7
疯狂原始人,科克·德·米科 Kirk,2013,8.7,836518人,7
心迷宫,忻钰坤 YukunXin,2014,8.7,519245人,7
谍影重重3,保罗·格林格拉斯 PaulGreengrass,2007,8.8,416893人,7
上帝之城,费尔南多·梅里尔斯 Fernando,2002,9.0,300817人,7
英雄本色,吴宇森 JohnWoo,1986,8.6,539523人,7
卢旺达饭店,特瑞·乔治 TerryGeorge,2004,8.9,328926人,7
纵横四海,吴宇森 JohnWoo,1991,8.8,424396人,7
风之谷,宫崎骏 HayaoMiyazaki,1984,8.9,353803人,7
海街日记,是枝裕和 HirokazuKoreeda,2015,8.8,447321人,7
爱在午夜降临前,理查德·林克莱特 RichardLinklater,2013,8.9,400871人,8
绿里奇迹,弗兰克·德拉邦特 FrankDarabont,1999,8.9,328373人,8
记忆碎片,克里斯托弗·诺兰 ChristopherNolan,2000,8.7,598893人,8
岁月神偷,罗启锐 AlexLaw,2010,8.7,573252人,8
疯狂的石头,宁浩 HaoNing,2006,8.6,818694人,8
忠犬八公物语,神山征二郎 SeijirôKôyama,1987,9.2,195598人,8
雨中曲,斯坦利·多南 Stanley,1952,9.1,224685人,8
荒蛮故事,达米安·斯兹弗隆 DamiánSzifron,2014,8.8,442553人,8
小丑,托德·菲利普斯 ToddPhillips,2019,8.7,1002119人,8
背靠背，脸对脸,黄建新 Jianxin,1994,9.5,132819人,8
2001太空漫游,斯坦利·库布里克 StanleyKubrick,1968,8.9,326887人,8
小偷家族,是枝裕和 HirokazuKoreeda,2018,8.7,810458人,8
爆裂鼓手,达米恩·查泽雷 DamienChazelle,2014,8.7,586052人,8
无敌破坏王,瑞奇·莫尔 RichMoore,2012,8.7,535568人,8
无间道2,刘伟强 /麦兆辉,2003,8.7,476631人,8
心灵奇旅,彼特·道格特 Pete,2020,8.7,976655人,8
贫民窟的百万富翁,丹尼·鲍尔 Danny,2008,8.6,743145人,8
冰川时代,卡洛斯·沙尔丹哈 Carlos,2002,8.6,610595人,8
恐怖游轮,克里斯托弗·史密斯 ChristopherSmith,2009,8.5,859135人,8
东邪西毒,王家卫 Kar,1994,8.6,575129人,8
牯岭街少年杀人事件,杨德昌 EdwardYang,1991,8.9,298854人,8
魔女宅急便,宫崎骏 HayaoMiyazaki,1989,8.7,458351人,8
遗愿清单,罗伯·莱纳 RobReiner,2007,8.7,459119人,8
东京教父,今敏 SatoshiKon,2003,9.0,228948人,8
你看起来好像很好吃,藤森雅也 MasayaFujimori,2010,8.9,332038人,8
大佛普拉斯,黄信尧 Hsin-yaoHuang,2017,8.7,455533人,9
真爱至上,理查德·柯蒂斯 RichardCurtis,2003,8.6,729664人,9
黑天鹅,达伦·阿罗诺夫斯基 DarrenAronofsky,2010,8.6,776850人,9
可可西里,陆川 ChuanLu,2004,8.9,302295人,9
城市之光,Charles Chaplin,1931,9.3,145863人,9
源代码,邓肯·琼斯 DuncanJones,2011,8.5,832157人,9
雨人,巴瑞·莱文森 BarryLevinson,1988,8.7,402709人,9
海边的曼彻斯特,肯尼斯·罗纳根 KennethLonergan,2016,8.6,536611人,9
恋恋笔记本,尼克·卡索维茨 NickCassavetes,2004,8.5,668212人,9
初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong,2018,8.6,601869人,9
人工智能,史蒂文·斯皮尔伯格 StevenSpielberg,2001,8.7,444033人,9
青蛇,徐克 HarkTsui,1993,8.6,524918人,9
虎口脱险,杰拉尔·乌里 GérardOury,1966,8.9,255984人,9
终结者2：审判日,詹姆斯·卡梅隆 JamesCameron,1991,8.8,340788人,9
疯狂的麦克斯4：狂暴之路,乔治·米勒 GeorgeMiller,2015,8.7,528607人,9
罗生门,黑泽明 AkiraKurosawa,1950,8.8,313409人,9
萤火虫之墓,高畑勋 IsaoTakahata,1988,8.7,403960人,9
新龙门客栈,李惠民 RaymondLee,1992,8.7,442890人,9
千钧一发,安德鲁·尼科尔 AndrewNiccol,1997,8.8,297572人,9
末路狂花,雷德利·斯科特 RidleyScott,1991,8.9,253843人,9
崖上的波妞,宫崎骏 HayaoMiyazaki,2008,8.6,495128人,9
无耻混蛋,昆汀·塔伦蒂诺 QuentinTarantino,2009,8.6,475467人,9
奇迹男孩,斯蒂芬·卓博斯基 StephenChbosky,2017,8.6,549690人,9
彗星来的那一夜,詹姆斯·沃德·布柯特 James,2013,8.6,577051人,9
花束般的恋爱,土井裕泰 NobuhiroDoi,2021,8.6,618581人,10
二十二,郭柯 KeGuo,2015,8.7,290690人,10
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana,2003,8.7,405135人,10
爱乐之城,达米恩·查泽雷 DamienChazelle,2016,8.4,892280人,10
血钻,爱德华·兹威克 EdwardZwick,2006,8.7,378779人,10
芙蓉镇,谢晋 JinXie,1987,9.3,137261人,10
战争之王,安德鲁·尼科尔 AndrewNiccol,2005,8.7,367515人,10
房间,伦尼·阿伯拉罕森 LennyAbrahamson,2015,8.8,366909人,10
步履不停,是枝裕和 HirokazuKoreeda,2008,8.8,278768人,10
魂断蓝桥,茂文·勒鲁瓦 MervynLeRoy,1940,8.8,277667人,10
哈利·波特与死亡圣器(上),大卫·叶茨 DavidYates,2010,8.5,571337人,10
